Data;Palmeira;Altura Palmeira (m);Área;Quadrante;Número;Família;Gênero;Espécie;Altura (cm);Dap (mm);Nativa;Estágio sucessional;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;1;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;2;Rubiaceae;Coffea ;Coffea arabica;34;3;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;3;Rubiaceae;Coffea ;Coffea arabica;29;4,5;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;4;Sapindaceae;Cupania;Cupania oblongifolia;58;5,4;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;5;Sapindaceae;Cupania;Cupania oblongifolia;164;10,8;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;6;Rubiaceae;Coffea ;Coffea arabica;23;3;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;7;Sapindaceae;Cupania;Cupania oblongifolia;39;6,3;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;9;Rubiaceae;Coffea ;Coffea arabica;85;14,2;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;10;Myrtaceae;Myrciaria;Myrciaria floribunda;300;32;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;3;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;4;11;Sapindaceae;Cupania;Cupania oblongifolia;25;5,7;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;1;12;Rubiaceae;Coffea ;Coffea arabica;87;7,6;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;1;14;Monimiaceae;Mollinedia;Mollinedia schottiana;59;8;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;1;15;Sapindaceae;Cupania;Cupania oblongifolia;49;4,8;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;2;16;Rubiaceae;Coffea ;Coffea arabica;38;3,4;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;2;17;Rubiaceae;Coffea ;Coffea arabica;72;5,3;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;2;18;Rubiaceae;Coffea ;Coffea arabica;36;2,6;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;2;19;Rubiaceae;Coffea ;Coffea arabica;116;7,8;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;2;20;Rubiaceae;Coffea ;Coffea arabica;32;3;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;2;21;Rubiaceae;Coffea ;Coffea arabica;64;6,2;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;2;22;Rubiaceae;Coffea ;Coffea arabica;33;2,5;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;2;23;Rubiaceae;Coffea ;Coffea arabica;64;3,9;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;2;24;Rubiaceae;Coffea ;Coffea arabica;70;4;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;2;25;Sapindaceae;Cupania;Cupania oblongifolia;79;12,1;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;3;26;Arecaceae;Euterpe;Euterpe edulis;22;2,4;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;3;27;Sapindaceae;Cupania;Cupania oblongifolia;89;8,3;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;3;28;Myrtaceae;Myrcia ;Myrcia tijucensis;20;2;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;3;29;Sapindaceae;Cupania;Cupania oblongifolia;66;7,3;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;3;30;Sapindaceae;Cupania;Cupania oblongifolia;48;6,2;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;3;31;Arecaceae;Euterpe;Euterpe edulis;83;9,9;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;4;32;Arecaceae;Euterpe;Euterpe edulis;137;18;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;4;33;Sapindaceae;Cupania;Cupania oblongifolia;55;9,2;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;4;34;Sapindaceae;Cupania;Cupania oblongifolia;47;10,2;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Copa;1;35;Rubiaceae;Coffea ;Coffea arabica;95;8,3;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Copa;1;36;Sapindaceae;Cupania;Cupania oblongifolia;20;4,78;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Copa;2;38;Sapindaceae;Cupania;Cupania oblongifolia;45;6;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Copa;3;40;Arecaceae;Euterpe;Euterpe edulis;149;14,7;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Copa;3;41;Sapindaceae;Cupania;Cupania oblongifolia;42;9,8;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Copa;3;42;Arecaceae;Euterpe;Euterpe edulis;141;25,3;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Copa;4;43;Sapindaceae;Cupania;Cupania oblongifolia;185;7,2;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Copa;4;44;Arecaceae;Euterpe;Euterpe edulis;59;7,4;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Copa;4;45;Sapindaceae;Cupania;Cupania oblongifolia;58;8;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Externo;1;46;Sapindaceae;Cupania;Cupania oblongifolia;76;8,2;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Externo;1;47;Rubiaceae;Psychotria;Psychotria suterella;77;41,3;S;Umbrófila;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Externo;1;48;Rubiaceae;Coffea ;Coffea arabica;42;41,6;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Externo;2;49;Rubiaceae;Coffea ;Coffea arabica;50;4,9;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Externo;2;50;Rubiaceae;Coffea ;Coffea arabica;81;7,2;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Externo;2;51;Sapindaceae;Cupania;Cupania oblongifolia;79;9,5;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Externo;2;52;Sapindaceae;Cupania;Cupania oblongifolia;32;4,1;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Externo;3;53;Rubiaceae;Psychotria;Psychotria suterella;300;48,4;S;Umbrófila;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Externo;3;54;Sapindaceae;Cupania;Cupania oblongifolia;35;5;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Externo;3;55;  Nyctaginaceae;Guapira ;Guapira opposita;300;29,6;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Externo;3;56;Meliaceae;Guarea;Guarea macrophylla;300;34,9;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Externo;4;57;Meliaceae;Guarea;Guarea macrophylla;38;8,8;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Externo;4;58;Rubiaceae;Psychotria;Psychotria suterella;57;4,3;S;Umbrófila;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Externo;4;59;Rubiaceae;Coffea ;Coffea arabica;5;10,2;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
5/12/2019;2;3;Externo;4;60;Arecaceae;Euterpe;Euterpe edulis;20;4,3;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Copa;1;61;Sapindaceae;Cupania;Cupania oblongifolia;20;2,6;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Copa;1;62;Rosaceae;Prunus;Prunus myrtifolia;48;2,7;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Copa;2;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Copa;3;63;Arecaceae;Euterpe;Euterpe edulis;60;9,2;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Copa;3;64;Rubiaceae;Coffea ;Coffea arabica;42;5;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Copa;3;65;Rubiaceae;Coffea ;Coffea arabica;43;5,5;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Copa;3;66;Rubiaceae;Coffea ;Coffea arabica;20;4,2;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Copa;3;67;Rubiaceae;Coffea ;Coffea arabica;40;4,2;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Copa;4;68;Arecaceae;Euterpe;Euterpe edulis;28;2,5;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Copa;4;69;Arecaceae;Euterpe;Euterpe edulis;20;4,3;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Copa;4;70;Arecaceae;Euterpe;Euterpe edulis;22;3,4;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;1;71;Monimiaceae;Mollinedia;Mollinedia uleana;45;5,5;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;1;74;Pittosporaceae;Pittosporum ;Pittosporum undulatum;65;5,5;N;Não Classificada;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;1;75;Monimiaceae;Mollinedia;Mollinedia clavigera;50;7,2;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;1;80;Meliaceae;Guarea;Guarea macrophylla;20;6,8;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;1;81;Monimiaceae;Mollinedia;Mollinedia uleana;83;12,2;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;1;82;Myrtaceae;Myrcia ;Myrcia tijucensis;79;10;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;1;83;Myrtaceae;Myrcia ;Myrcia tijucensis;119;11;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;1;84;Fabaceae;Machaerium;Machaerium stipitatum;27;4,2;S;Pioneira;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;1;87;Rubiaceae;Psychotria;Psychotria suterella;27;2,8;S;Umbrófila;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;2;91;Indeterminada 1;Indeterminada 1;Indeterminada 1;24;8,7;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;2;98;Solanaceae;Cestrum ;Cestrum schlechtendalii;69;7,8;S;Pioneira;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;2;100;Sapindaceae;Cupania;Cupania oblongifolia;20;2,9;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;3;101;Sapindaceae;Cupania;Cupania oblongifolia;66;5,9;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;3;102;Myrtaceae;Eugenia;Eugenia brasiliensis;42;5,7;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;3;105;Myrtaceae;Eugenia;Eugenia brasiliensis;48;6,1;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;3;107;  Nyctaginaceae;Guapira ;Guapira opposita;52;7,2;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;4;109;Monimiaceae;Mollinedia;Mollinedia uleana;46;11;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;4;110;Rubiaceae;Psychotria;Psychotria suterella;98;13,2;S;Umbrófila;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;4;112;Myrtaceae;Myrcia ;Myrcia tijucensis;24;3,2;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;4;113;Rubiaceae;Coffea ;Coffea arabica;47;4,25;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;4;114;Sapindaceae;Cupania;Cupania oblongifolia;45;3,6;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;Externo;4;115;Sapindaceae;Cupania;Cupania oblongifolia;147;13,6;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Copa;1;4654;Arecaceae;Euterpe;Euterpe edulis;40;7,8;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Copa;1;4655;Myrtaceae;Myrcia ;Myrcia tijucensis;22;2,7;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Copa;2;4656;Rubiaceae;Coffea ;Coffea arabica;90;7,3;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Copa;2;4657;Sapindaceae;Cupania;Cupania oblongifolia;105;13,6;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Copa;2;4660;Sapindaceae;Matayba;Matayba elaeagnoides;186;19,5;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Copa;3;4661;Rubiaceae;Coffea ;Coffea arabica;43;3,1;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Copa;3;4662;Rubiaceae;Coffea ;Coffea arabica;79;6,5;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Copa;3;4663;Rubiaceae;Coffea ;Coffea arabica;87;7,1;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Copa;3;4664;Rubiaceae;Coffea ;Coffea arabica;27;2,1;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Copa;3;4665;Arecaceae;Euterpe;Euterpe edulis;170;41,3;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Copa;4;4666;Sapindaceae;Cupania;Cupania oblongifolia;20;2,1;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Copa;4;4667;Myrtaceae;Myrcia ;Myrcia tijucensis;22;2,1;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Copa;4;4668;Myrtaceae;Myrcia ;Myrcia tijucensis;22;1,8;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Copa;4;4669;Rutaceae;Citrus;Citrus sp;69;6,5;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Externo;1;4669A;Myrtaceae;Myrciaria;Myrciaria floribunda;79;8,7;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Externo;1;4700;Sapindaceae;Cupania;Cupania oblongifolia;55;5,7;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Externo;1;4670;Sapindaceae;Cupania;Cupania oblongifolia;43;5,2;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Externo;1;4671;Sapindaceae;Cupania;Cupania oblongifolia;33;3,9;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Externo;1;4672;Sapindaceae;Cupania;Cupania oblongifolia;20;2,8;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Externo;1;4674;Sapindaceae ;Allophylus ;Allophylus edulis;20;2,65;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Externo;1;4673;Melastomataceae;Leandra;Leandra dasytricha;150;3,75;S;Pioneira;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Externo;2;4675;Arecaceae;Archontophoenix ;Archontophoenix cunninghamiana;67;12,3;N;Não Classificada;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Externo;2;4676;Arecaceae;Archontophoenix ;Archontophoenix cunninghamiana;102;17,9;N;Não Classificada;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Externo;2;4677;Sapindaceae;Cupania;Cupania oblongifolia;29;3,6;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Externo;2;4678;Sapindaceae;Cupania;Cupania oblongifolia;24;3;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Externo;2;4679;Rubiaceae;Coffea ;Coffea arabica;54;4,3;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Externo;2;4680;Rubiaceae;Coffea ;Coffea arabica;79;6,5;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Externo;2;4681;Rubiaceae;Psychotria;Psychotria suterella;37;2,7;S;Umbrófila;;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;Externo;2;4682;Monimiaceae;Mollinedia;Mollinedia uleana;63;2,2;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;3;4683;Rubiaceae;Psychotria;Psychotria suterella;195;49,7;S;Umbrófila;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;3;4684;Primulaceae;Myrsine ;Myrsine umbellata;35;4,5;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;3;4686;Sapindaceae;Cupania;Cupania oblongifolia;76;9,45;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;3;4687;Lauraceae;Nectrandra;Nectandra barbellata;67;6,6;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;3;4688;Lauraceae;Nectrandra;Nectandra barbellata;600;48,5;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;3;4689;Sapindaceae;Cupania;Cupania oblongifolia;350;30,9;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;3;4690;Boraginaceae;Cordia;Cordia sellowiana;37;4,3;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;3;4691;Arecaceae;Euterpe;Euterpe edulis;23;3,55;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;3;4692;Myrtaceae;Myrcia ;Myrcia tijucensis;38;5,9;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;4;4693;Rubiaceae;Coffea ;Coffea arabica;86;7;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;4;4694;Indeterminada 5;Indeterminada 5;Indeterminada 5;20;3;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;4;4695;Indeterminada 5;Indeterminada 5;Indeterminada 5;35;4,8;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;4;4696;Meliaceae;Guarea;Guarea macrophylla;25;4,3;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;4;4697;Myrtaceae;Myrciaria;Myrciaria floribunda;32;2,3;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;4;4701;Sapindaceae;Cupania;Cupania oblongifolia;35;3,5;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;Externo;4;4702;Sapindaceae;Cupania;Cupania oblongifolia;40;4,15;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
